Scheme Name	Net Asset Value
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW	114.3772
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW	113.9112
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW	111.3643
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW	161.62
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW	110.4844
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW	108.1449
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW	110.3131
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW	110.8955
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth	319.9148
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth	480.2334
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth	330.1016
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option	1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW	1038.3356
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option	2369.3550
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	1033.7466
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW	1038.0715
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option	1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW	1038.2854
Axis Banking & PSU Debt Fund - Regular Plan - Growth option	2308.8776
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	1033.6069
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW	1038.0034
BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW	12.3466
BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW	10.4668
BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW	10.4594
BANDHAN Banking & PSU Debt Fund - Direct Growth	22.1023
BANDHAN Banking & PSU Debt Fund - Direct IDCW	11.6269
BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW	10.4266
BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW	10.7084
BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW	11.3554
BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW	10.8679
BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW	10.6135
BANDHAN Banking & PSU Debt Fund - Regular Growth	21.5879
BANDHAN Banking & PSU Debt Fund - Regular IDCW	11.6574
BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW	10.6694
BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW	10.6188
Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option	10.1829
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option	11.2002
Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option	10.2432
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option	11.0334
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option	10.0976
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option	10.1075
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option	10.6539
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout	10.3900
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option	10.6192
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment)	10.3559
DSP Banking & PSU Debt Fund - Direct Plan - Growth	21.5290
DSP Banking & PSU Debt Fund - Direct Plan - IDCW	10.5428
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest	10.1296
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly	10.2033
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly 	10.1519
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly	10.1297
DSP Banking & PSU Debt Fund - Regular Plan - Growth	20.8891
DSP Banking & PSU Debt Fund - Regular Plan - IDCW	10.5279
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest	10.1292
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly	10.1953
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly 	10.1500
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly	10.1292
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option	22.0574
Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option	18.2531
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option	14.4865
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option	10.8773
Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option	10.5201
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option	21.4004
Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option	17.6157
Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option	14.1059
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option	11.1201
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option	10.1156
Franklin India Banking & PSU Debt Fund - Direct - Growth	20.4146
Franklin India Banking & PSU Debt Fund - Growth	19.6524
Franklin India Banking and PSU Debt Fund - Direct - IDCW 	10.9123
Franklin India Banking and PSU Debt Fund - IDCW 	10.3638
HDFC Banking and PSU Debt Fund - Growth Option	20.087
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	20.776
HDFC Banking and PSU Debt Fund - IDCW Option	10.1317
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.0227
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1795
HSBC Banking and PSU Debt Fund - Direct Growth	22.2808
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.2417
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3432
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.1042
HSBC Banking and PSU Debt Fund - Regular Growth	21.2912
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.6731
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3153
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	29.6604
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	12.6102
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	28.6167
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	10.6894
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking & PSU Debt Fund - Daily IDCW (Reinvestment)	1008.0646
Invesco India Banking & PSU Debt Fund - Direct Plan -  Growth Option	2096.8637
Invesco India Banking & PSU Debt Fund - Direct Plan - Daily IDCW (Reinvestment)	1028.9055
Invesco India Banking & PSU Debt Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1008.6791
Invesco India Banking & PSU Debt Fund - Growth Option	1968.8811
Invesco India Banking & PSU Debt Fund - Monthly IDCW (Payout / Reinvestment)	1028.7158
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	11.6317
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	11.6317
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	11.4435
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	11.4435
Kotak Banking and PSU Debt - Annual Dividend	16.1842
Kotak Banking and PSU Debt - Daily Dividend Reinvestment	10.188
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment	10.2604
Kotak Banking and PSU Debt - Growth	56.9474
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	10.6991
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	58.9393
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.287
LIC MF Banking & PSU Debt Fund-Direct Plan-Daily IDCW	13.1408
LIC MF Banking & PSU Debt Fund-Direct Plan-Growth	32.4771
LIC MF Banking & PSU Debt Fund-Direct Plan-Monthly IDCW	12.2313
LIC MF Banking & PSU Debt Fund-Direct Plan-Weekly IDCW	10.0481
LIC MF Banking & PSU Debt Fund-Regular Plan-Daily IDCW	10.8707
LIC MF Banking & PSU Debt Fund-Regular Plan-Growth	30.3743
LIC MF Banking & PSU Debt Fund-Regular Plan-Monthly IDCW	11.3679
LIC MF Banking & PSU Debt Fund-Regular Plan-Weekly IDCW	10.0439
Mirae Asset Banking and PSU Debt Fund Direct Growth	11.4943
Mirae Asset Banking and PSU Debt Fund Direct IDCW	11.4937
Mirae Asset Banking and PSU Debt Fund Regular Growth Plan	11.3318
Mirae Asset Banking and PSU Debt Fund Regular IDCW	11.3328
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option	18.6568
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option	18.6566
Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option	18.0993
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option	18.6566
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option	10.6504
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option	10.6531
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option	10.2665
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option	18.0993
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option	10.5853
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option	10.6026
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option	10.2665
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1266.3595
SBI BANKING & PSU FUND - Direct Plan - Growth	2875.0003
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1228.6869
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1263.5453
SBI BANKING & PSU FUND - Regular Paln - Growth	2726.3798
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1243.8504
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1167.0045
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1243.5873
Sundaram Banking & PSU Debt Fund - Direct Growth	11.7065
Sundaram Banking & PSU Debt Fund - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Debt Fund - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Debt Fund - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Debt Fund - Regular Growth	11.6493
Sundaram Banking & PSU Debt Fund - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Debt Fund - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Debt Fund - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Debt Fund Regular Quarterly Dividend	11.0236
Sundaram Banking and PSU Debt Fund Direct Plan - Bonus	18.9848
Sundaram Banking and PSU Debt Fund Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2218
Sundaram Banking and PSU Debt Fund Direct Plan - Growth	37.9493
Sundaram Banking and PSU Debt Fund Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.5329
Sundaram Banking and PSU Debt Fund Regular Plan - Bonus	18.9141
Sundaram Banking and PSU Debt Fund Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3464
Sundaram Banking and PSU Debt Fund Regular Plan - Growth	37.5077
Sundaram Banking and PSU Debt Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.5847
Sundaram Banking and PSU Debt Fund Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1004
Sundaram Banking and PSU Debt Fund Retail Plan - Growth	33.8024
Sundaram Banking and PSU Debt Fund Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.4895
SundaramBanking&PSUDebtFund-RegularDailyDividendReinvestment	11.6582
Tata Banking & PSU Debt Fund  Direct Plan - Payout of Income Distribution cum capital withdrawal option 	12.8116
